origem_id,destino_id,tempo_seg,distancia_km,nome_origem,nome_destino,linha_origem
135.842,135.843,503,5.473,Молжаниново,Химки,1
97.685,97.821,198,1.938,Савёловская,Марьина Роща,1
132.739,132.740,402,4.306,Бутово,Щербинка,1
95.522,95.523,210,2.075,Измайлово,Соколиная Гора,1
9.108,9.28,168,1.598,Петровско-Разумовская,Владыкино,1
1.66,1.98,91,0.707,Лубянка,Охотный ряд,1
131.688,131.689,161,1.513,Шереметьевская,Хлебниково,1
2.125,2.674,135,1.218,Речной вокзал,Беломорская,1
11.26,11.46,183,1.772,Варшавская,Каширская,1
1.54,1.61,96,0.768,Комсомольская,Красные ворота,1
133.470,133.885,1619,18.374,Парк Победы,Пыхтино,1
10.25,10.79,126,1.112,Братиславская,Марьино,1
133.468,133.885,1802,20.481,Деловой центр,Пыхтино,1
4.172,4.179,87,0.663,Деловой центр (Выставочная),Москва-Сити,1
132.741,132.742,402,4.297,Остафьево,Силикатная,1
133.610,133.611,146,1.336,Солнцево,Боровское шоссе,1
97.599,97.600,174,1.666,Петровский парк,ЦСКА,1
132.730,132.731,382,4.068,Текстильщики,Люблино,1
6.129,6.13,187,1.811,Свиблово,Бабушкинская,1
97.816,97.817,222,2.221,Воронцовская,Зюзино,1
1.117,1.134,224,2.247,Преображенская площадь,Сокольники,1
95.542,95.543,158,1.475,Стрешнево,Балтийская,1
9.128,9.35,168,1.593,Савёловская,Дмитровская,1
4.11,4.6,69,0.452,Арбатская,Александровский сад,1
98.641,98.762,611,6.713,Некрасовка,Юго-Восточная,1
135.872,135.873,191,1.864,Кратово,Есенинская,1
8.78,8.91,192,1.872,Марксистская,Третьяковская,1
9.142,9.85,295,3.061,Тульская,Нагатинская,1
3.176,3.69,163,1.536,Славянский бульвар,Кунцевская,1
97.817,97.818,154,1.434,Зюзино,Каховская,1
131.706,131.707,175,1.677,Сетунь,Немчиновка,1
135.852,135.853,241,2.434,Митьково,Электрозаводская,1
135.861,135.862,205,2.02,Косино,Ухтомская,1
3.173,3.176,285,2.953,Парк Победы,Славянский бульвар,1
133.613,133.918,376,3.998,Рассказовка,Аэропорт Внуково,1
1.134,1.60,146,1.344,Сокольники,Красносельская,1
95.539,95.540,133,1.187,Хорошево,Зорге,1
131.687,131.688,1168,13.154,Лобня,Шереметьевская,1
8.189,8.88,306,3.195,Новокосино,Новогиреево,1
1.103,1.152,146,1.34,Парк культуры,Фрунзенская,1
131.700,131.701,230,2.308,Белорусская,Беговая,1
7.127,7.68,219,2.189,Рязанский проспект,Кузьминки,1
